Init_or_Mature,Op Type,Date,Participating Counterparties,Tsy-Submit
Init,RRP,08/01/19,12,6044
Init,RRP,08/02/19,9,3335
Mature,RRP,08/02/19,12,6044
Init,RRP,08/05/19,5,3474
Mature,RRP,08/05/19,9,3335
Init,RRP,08/06/19,4,3410
Mature,RRP,08/06/19,5,3474
Init,RRP,08/07/19,4,3622
Mature,RRP,08/07/19,4,3410
Init,RRP,08/08/19,5,3056
Mature,RRP,08/08/19,4,3622
Init,RRP,08/09/19,4,2720
Mature,RRP,08/09/19,5,3056
Init,RRP,08/12/19,9,5430
Mature,RRP,08/12/19,4,2720
Init,RRP,08/13/19,8,5001
Mature,RRP,08/13/19,9,5430
Init,RRP,08/14/19,10,2744
Mature,RRP,08/14/19,8,5001
Init,RRP,08/15/19,2,3510
Mature,RRP,08/15/19,10,2744
Init,RRP,08/16/19,5,11843
Mature,RRP,08/16/19,2,3510
Init,RRP,08/19/19,5,13403
Mature,RRP,08/19/19,5,11843
Init,RRP,08/20/19,4,15980
Mature,RRP,08/20/19,5,13403
Init,RRP,08/21/19,6,15153
Mature,RRP,08/21/19,4,15980
Init,RRP,08/22/19,5,14611
Mature,RRP,08/22/19,6,15153
Init,RRP,08/23/19,5,9046
Mature,RRP,08/23/19,5,14611
Init,RRP,08/26/19,3,3676
Mature,RRP,08/26/19,5,9046
Init,RRP,08/27/19,3,1555
Mature,RRP,08/27/19,3,3676
Init,RRP,08/28/19,4,4255
Mature,RRP,08/28/19,3,1555
Init,RRP,08/29/19,9,102
Mature,RRP,08/29/19,4,4255
Init,RRP,08/30/19,4,12089
Mature,RRP,08/30/19,9,102
Init,RRP,09/03/19,5,1754
Mature,RRP,09/03/19,4,12089
Init,RRP,09/04/19,4,1425
Mature,RRP,09/04/19,5,1754
Init,RRP,09/05/19,2,1075
Mature,RRP,09/05/19,4,1425
Init,RRP,09/06/19,4,880
Mature,RRP,09/06/19,2,1075
Init,RRP,09/09/19,3,2787
Mature,RRP,09/09/19,4,880
Init,RRP,09/10/19,6,3608
Mature,RRP,09/10/19,3,2787
Init,RRP,09/11/19,3,3612
Mature,RRP,09/11/19,6,3608
Init,RRP,09/12/19,4,3469
Mature,RRP,09/12/19,3,3612
Init,RRP,09/13/19,3,2675
Mature,RRP,09/13/19,4,3469
Init,RRP,09/16/19,3,2202
Mature,RRP,09/16/19,3,2675
Init,RRP,09/17/19,4,1825
Init,RP,09/17/19,0,40850
Mature,RRP,09/17/19,3,2202
Init,RRP,09/18/19,4,18910
Init,RP,09/18/19,0,51550
Mature,RRP,09/18/19,4,1825
Mature,RP,09/18/19,0,40850
Init,RRP,09/19/19,5,5004
Init,RP,09/19/19,0,56325
Mature,RRP,09/19/19,4,18910
Mature,RP,09/19/19,0,51550
Init,RRP,09/20/19,1,7552
Init,RP,09/20/19,0,59600
Mature,RRP,09/20/19,5,5004
Mature,RP,09/20/19,0,56325
Init,RRP,09/23/19,2,7485
Init,RP,09/23/19,0,49700
Mature,RRP,09/23/19,1,7552
Mature,RP,09/23/19,0,59600
Init,RRP,09/24/19,2,101
