,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
33,ABBV,2020-08-20,97.69999694824219,-12.300003051757812,110.0,0.3,0.3,0.36,-0.109999985,-26.829264,462.0,10100.0,0.30371790039062496,False,0.04574257425742574,303000.0,-0.12589563394023334
39,ATVI,2020-08-20,81.0999984741211,-8.900001525878906,90.0,1.09,1.02,1.12,-0.110000014,-9.166668,991.0,5461.0,0.422857333984375,False,0.18146859549533054,595249.0000000001,-0.1097410812987732
25,AMD,2020-08-20,61.790000915527344,-8.209999084472656,70.0,1.87,1.84,1.92,1.12,149.33333,8201.0,8937.0,0.6567417138671876,False,0.9176457424191563,1671219.0000000002,-0.13286937955700123
26,AMD,2020-08-20,61.790000915527344,-13.209999084472656,75.0,1.15,1.1,1.18,0.71999997,167.44185,3883.0,1609.0,0.6850617431640625,False,2.413300186451212,185035.0,-0.2137886209539299
27,AMD,2020-08-20,61.790000915527344,-18.209999084472656,80.0,0.71,0.63,0.72,0.42999998,153.57141,1695.0,2371.0,0.7050810742187501,False,0.714888232813159,168341.0,-0.29470786235085855
28,AMD,2020-08-20,61.790000915527344,-23.209999084472656,85.0,0.48,0.45,0.53,0.27999997,139.99998,646.0,688.0,0.7563500927734376,False,0.938953488372093,33024.0,-0.3756271037477872
29,AMD,2020-08-20,61.790000915527344,-28.209999084472656,90.0,0.33,0.32,0.38,0.18,120.00001,354.0,773.0,0.7954122021484374,False,0.4579560155239327,25509.0,-0.45654634514471587
30,AMD,2020-08-20,61.790000915527344,-33.209999084472656,95.0,0.21,0.23,0.25,0.10999999,109.99999,673.0,1786.0,0.8212908496093749,False,0.37681970884658456,37506.0,-0.5374655865416446
5,ALK,2020-08-20,36.29999923706055,-6.200000762939453,42.5,0.95,0.9,1.05,-0.050000012,-5.000001,334.0,547.0,0.702151416015625,False,0.6106032906764168,51965.0,-0.17079892267902727
306,AMZN,2020-08-20,3099.909912109375,-320.090087890625,3420.0,75.0,77.55,80.35,-21.400002,-22.199171,401.0,216.0,0.5358894983291627,False,1.8564814814814814,1620000.0,-0.10325786779810496
314,AMZN,2020-08-20,3099.909912109375,-400.090087890625,3500.0,64.49,63.3,65.2,-12.560005,-16.30111,344.0,1112.0,0.5447700247573852,False,0.30935251798561153,7171287.999999999,-0.12906506938402554
317,AMZN,2020-08-20,3099.909912109375,-450.090087890625,3550.0,56.22,52.45,57.35,-25.779999,-31.439024,1724.0,135.0,0.5441787525939943,False,12.77037037037037,758970.0,-0.1451945703752259
332,AMZN,2020-08-20,3099.909912109375,-900.090087890625,4000.0,22.65,21.7,23.15,-6.1000004,-21.217392,360.0,980.0,0.6282843568420411,False,0.3673469387755102,2219700.0,-0.2903600792960292
