,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
12,ABBV,2020-08-20,96.04000091552734,23.540000915527344,72.5,0.14,0.01,0.18,0.020000003,16.66667,251.0,572.0,0.56836369140625,0.0,0.4388111888111888,8008.000000000001,0.2451062129438349
15,ABBV,2020-08-20,96.04000091552734,16.040000915527344,80.0,0.28,0.25,0.33,0.09,47.368423,606.0,3800.0,0.5024463818359376,0.0,0.15947368421052632,106400.0,0.16701375221388678
27,ADBE,2020-08-20,438.8800048828125,48.8800048828125,390.0,2.79,1.8,2.35,0.63999987,29.767435,340.0,876.0,0.4042417974853516,0.0,0.3881278538812785,244404.0,0.11137441746944975
2,AMD,2020-08-20,78.19999694824219,43.19999694824219,35.0,0.01,0.0,0.01,-0.02,-66.66667,283.0,5341.0,1.09375453125,0.0,0.052986332147537916,5341.0,0.5524296500527326
3,AMD,2020-08-20,78.19999694824219,38.19999694824219,40.0,0.01,0.01,0.03,0.0,0.0,447.0,8476.0,1.0468797656250002,0.0,0.05273714016045304,8476.0,0.48849102863169436
9,AMD,2020-08-20,78.19999694824219,28.199996948242188,50.0,0.07,0.06,0.08,0.0,0.0,1400.0,20862.0,0.8437515624999999,0.0,0.0671076598600326,146034.0,0.36061378578961795
10,AMD,2020-08-20,78.19999694824219,27.199996948242188,51.0,0.08,0.0,0.09,0.0,0.0,201.0,706.0,0.7617211328125001,0.0,0.2847025495750708,5648.0,0.34782606150541034
15,AMD,2020-08-20,78.19999694824219,23.199996948242188,55.0,0.1,0.1,0.11,-0.019999996,-16.666664,609.0,61126.0,0.7246121289062499,0.0,0.009963027189739227,611260.0,0.29667516436857977
21,AMD,2020-08-20,78.19999694824219,18.199996948242188,60.0,0.22,0.2,0.23,-0.050000012,-18.518522,1658.0,9571.0,0.647464462890625,0.0,0.17323163723748825,210562.0,0.23273654294754156
22,AMD,2020-08-20,78.19999694824219,17.199996948242188,61.0,0.25,0.22,0.28,-0.06999999,-21.874998,216.0,1240.0,0.632816171875,0.0,0.17419354838709677,31000.0,0.21994881866333393
23,AMD,2020-08-20,78.19999694824219,15.699996948242188,62.5,0.31,0.25,0.33,-0.07999998,-20.512815,293.0,2358.0,0.6015664843750002,0.0,0.12425784563189143,73098.0,0.20076723223702247
24,AMD,2020-08-20,78.19999694824219,13.199996948242188,65.0,0.46,0.43,0.47,-0.16,-25.80645,2751.0,5147.0,0.5756878369140624,0.0,0.5344861084126675,236762.0,0.16879792152650336
25,AMD,2020-08-20,78.19999694824219,10.699996948242188,67.5,0.73,0.7,0.75,-0.26,-26.262627,1061.0,1661.0,0.5600629931640625,0.0,0.6387718242022877,121253.0,0.13682861081598427
26,AMD,2020-08-20,78.19999694824219,8.199996948242188,70.0,1.11,1.09,1.15,-0.42999995,-27.922075,3132.0,5530.0,0.5429733203125001,0.0,0.566365280289331,613830.0,0.10485930010546517
6,AFL,2020-08-20,35.290000915527344,5.290000915527344,30.0,0.05,0.1,0.2,0.0,0.0,1792.0,1795.0,0.5195360546875,0.0,0.9983286908077994,8975.0,0.14990084381663424
5,AKAM,2020-08-20,110.5,45.5,65.0,0.77,0.0,0.0,0.0,0.0,227.0,206.0,0.500005,0.0,1.1019417475728155,15862.0,0.4117647058823529
1,ALB,2020-08-20,83.0,38.0,45.0,0.05,0.0,0.2,0.0,0.0,540.0,540.0,1.1640666796875,0.0,1.0,2700.0,0.4578313253012048
203,AMZN,2020-08-20,3051.8798828125,451.8798828125,2600.0,10.84,9.8,11.7,-3.3099995,-23.392223,291.0,943.0,0.4651847915649414,0.0,0.30858960763520676,1022211.9999999999,0.14806607735690572
223,AMZN,2020-08-20,3051.8798828125,351.8798828125,2700.0,20.63,20.0,22.0,-5.51,-21.078808,280.0,1448.0,0.45419857330322266,0.0,0.19337016574585636,2987224.0,0.11529938802447902
2,AAL,2020-08-20,11.180000305175781,6.180000305175781,5.0,0.03,0.02,0.04,-0.020000001,-40.000004,366.0,5809.0,1.6875015625,0.0,0.06300568084007574,17427.0,0.5527728207945353
9,AAL,2020-08-20,11.180000305175781,2.1800003051757812,9.0,0.2,0.18,0.2,0.010000005,5.2631607,234.0,9795.0,0.8984385156249999,0.0,0.023889739663093414,195900.0,0.19499107743016342
11,AAL,2020-08-20,11.180000305175781,1.1800003051757812,10.0,0.4,0.4,0.41,0.02000001,5.2631607,920.0,32746.0,0.84179845703125,0.0,0.028095034508031514,1309840.0000000002,0.10554564158907045
6,AEP,2020-08-20,86.06999969482422,31.06999969482422,55.0,0.1,0.0,0.1,0.0,0.0,362.0,1285.0,0.79687703125,0.0,0.28171206225680934,12850.0,0.3609852423026394
10,AEP,2020-08-20,86.06999969482422,18.56999969482422,67.5,0.45,0.0,0.35,0.0,0.0,211.0,372.0,0.56836369140625,0.0,0.5672043010752689,16740.0,0.21575461555323924
1,APH,2020-08-20,105.16999816894531,25.169998168945312,80.0,0.15,0.0,0.25,0.0,0.0,305.0,0.0,0.5722699023437501,0.0,inf,0.0,0.2393267909780903
3,APH,2020-08-20,105.16999816894531,15.169998168945312,90.0,0.29,0.15,0.3,0.0,0.0,886.0,902.0,0.4243221630859375,0.0,0.9822616407982262,26158.0,0.14424263985035157
4,APA,2020-08-20,16.010000228881836,6.010000228881836,10.0,0.02,0.02,0.04,-0.13000001,-86.666664,445.0,1777.0,0.98437515625,0.0,0.2504220596510974,3554.0,0.3753903899413988
8,APA,2020-08-20,16.010000228881836,4.010000228881836,12.0,0.13,0.12,0.13,-0.37,-74.0,310.0,0.0,0.8789074609374999,0.0,inf,0.0,0.25046846792967853
9,APA,2020-08-20,16.010000228881836,3.510000228881836,12.5,0.17,0.15,0.21,-0.52,-75.36232,346.0,5287.0,0.8652357226562499,0.0,0.06544354076035559,89879.00000000001,0.21923798742674847
12,APA,2020-08-20,16.010000228881836,2.010000228881836,14.0,0.44,0.4,0.47,-1.05,-70.469795,498.0,208.0,0.8027363476562499,0.0,2.394230769230769,9152.0,0.12554654591795827
10,AAPL,2020-08-20,384.760009765625,164.760009765625,220.0,0.04,0.0,0.25,0.0,0.0,206.0,326.0,0.9062509375,0.0,0.6319018404907976,1304.0,0.42821500567584425
